customer_id,signup_date,segment,region
C00001,2022-08-17T05:45:00Z,smb,east
C00001,2022-08-17T05:45:00Z,smb,north
C00002,21/12/2022,smb,east
C00002,21/12/2022,smb,west
C00003,2022-02-03,enterprise,north
C00003,2022-02-03,enterprise,south
C00004,2022-07-24,consumer,east
C00004,2022-07-24,consumer,west
C00005,2022-03-08,enterprise,north
C00005,2022-03-08,enterprise,east
C00006,11/02/2022,enterprise,east
C00006,11/02/2022,enterprise,west
C00007,04/04/2022,smb,west
C00007,04/04/2022,smb,east
C00008,"August 13, 2022",smb,west
C00008,"August 13, 2022",smb,north
C00009,"November 14, 2022",consumer,west
C00009,"November 14, 2022",consumer,north
C00010,"August 24, 2022",smb,west
C00010,"August 24, 2022",smb,south
C00011,2022-11-07T08:05:00Z,smb,south
C00011,2022-11-07T08:05:00Z,smb,north
C00012,2022-10-02T23:30:00Z,consumer,south
C00012,2022-10-02T23:30:00Z,consumer,west
C00013,2022-08-23,enterprise,west
C00013,2022-08-23,enterprise,south
C00014,2022-09-08T12:24:00Z,enterprise,west
C00014,2022-09-08T12:24:00Z,enterprise,east
C00015,04/06/2022,smb,west
C00015,04/06/2022,smb,east
C00016,"January 6, 2022",smb,west
C00016,"January 6, 2022",smb,north
C00017,19/07/2022,smb,west
C00017,19/07/2022,smb,east
C00018,08/07/2022,enterprise,south
C00018,08/07/2022,enterprise,west
C00019,"May 14, 2022",smb,south
C00019,"May 14, 2022",smb,west
C00020,2022-04-13T12:10:00Z,enterprise,south
C00020,2022-04-13T12:10:00Z,enterprise,north
C00021,2022-03-02T18:56:00Z,enterprise,east
C00021,2022-03-02T18:56:00Z,enterprise,north
C00022,28/09/2022,consumer,south
C00022,28/09/2022,consumer,west
C00023,2022-05-27T11:48:00Z,enterprise,east
C00023,2022-05-27T11:48:00Z,enterprise,north
C00024,2022-05-18T14:08:00Z,enterprise,north
C00024,2022-05-18T14:08:00Z,enterprise,east
C00025,14/02/2022,consumer,south
C00025,14/02/2022,consumer,north
C00026,11/06/2022,enterprise,east
C00026,11/06/2022,enterprise,west
C00027,2022-04-07T20:51:00Z,smb,north
C00027,2022-04-07T20:51:00Z,smb,east
C00028,14/12/2022,smb,north
C00028,14/12/2022,smb,west
C00029,2022-02-18T05:23:00Z,enterprise,east
C00029,2022-02-18T05:23:00Z,enterprise,west
C00030,13/06/2022,smb,south
C00030,13/06/2022,smb,west
C00031,06/01/2022,consumer,south
C00031,06/01/2022,consumer,north
C00032,09/06/2022,enterprise,east
C00032,09/06/2022,enterprise,south
C00033,"December 8, 2022",consumer,west
C00033,"December 8, 2022",consumer,east
C00034,13/12/2022,enterprise,west
C00034,13/12/2022,enterprise,north
C00035,"November 14, 2022",consumer,south
C00035,"November 14, 2022",consumer,west
C00036,19/06/2022,enterprise,east
C00036,19/06/2022,enterprise,north
C00037,2022-06-08,consumer,west
C00037,2022-06-08,consumer,north
C00038,2022-12-11T09:28:00Z,consumer,north
C00038,2022-12-11T09:28:00Z,consumer,south
C00039,17/03/2022,smb,east
C00039,17/03/2022,smb,north
