transaction_id,customer_id,order_date,amount,quantity,channel
T004716,C00313,2024-08-23T23:26:00Z,121.77,4,In-Store
T003183,C00329,26/09/2024,$145.95,2,In-Store
T002691,C00177,"June 26, 2024",$143.98,4,Web
T001589,C00723,"May 28, 2024",135.19,1,Mobile
T001242,C00798,"September 3, 2024",$100.10,2,In-Store
T005166,C00536,08/03/2024,$9.23,3,web
T004813,C00106,2024-11-04, 1.00 ,1,Web
T001326,C00554,01/08/2024,$1.00,N/A,Mobile
T004910,C00857,2024-08-14,50.69,4, mobile
T002136,C00869,16/08/2024, 155.90 ,null,Mobile
T004033,C00064,22/08/2024,$47.87,4,Mobile
T003903,C00561,2024-10-27,$80.37,3,WEB 
T006833,C00814,2024-08-09T17:25:00Z, 123.76 ,4, mobile
T006250,C00465,2024-03-03,$98.37,1,In-Store
T005912,C00886,2024-06-04,83.88,3,Web
T004673,C00662,2024-09-13,$208.16,2,In-Store
T003923,C00511,06/07/2024, 176.72 ,3,Mobile
T007237, C00466 ,2024-06-16,1.00,3,Mobile
T002219,C00613,2024-06-21,148.21,3, mobile
T005241,C00116,2024-03-02T11:44:00Z,$29.23,1,Web
T007687,C00375,11/12/2024,$153.61,3,Web
T005989,C00159,13/10/2024,$119.78,4,Mobile
T002310,C00226,04/05/2024, 60.36 ,4, mobile
T003195,C00620,"September 21, 2024", 108.54 ,4,In-Store
T006533,C00774,2024-05-22,$97.05,5,In-Store
T003288,C00405,"June 16, 2024",263.85,N/A,Mobile
T007945,C00380,2024-04-25,55.47,5,Mobile
T006272,C00730,13/06/2024, 182.88 ,1, mobile
T004326, C00855 ,2024-10-15,107.76,1,In-Store
T000711,C00510,"August 13, 2024",$131.67,1,Mobile
T003145,C00078,"June 8, 2024", 39.37 ,5,WEB 
T005107,C00198,"December 7, 2024",$98.14,5,in-store
T000025,C00730,2024-11-07T19:17:00Z, 154.32 ,3,Web
T005046,C00727,2024-02-04T08:23:00Z,230.92,2,In-Store
T006842,C00321,2024-04-05T23:57:00Z,150.26,4,WEB 
T006669,C00553,2024-07-17, 86.08 ,4,In-Store
T004497, C00603 ,17/10/2024,$153.74,2,Mobile
T007814,C00828,26/05/2024,26.14,5,Mobile
T005396,C00464,2024-03-03, 225.13 ,5,web
T002483, C00059 ,2024-11-16, 152.64 ,5,web
T002490,C00035,2024-09-20,$70.97,4,web
T003009,C00620,2024-06-16, 208.79 ,5,In-Store
T001128,C00647,2024-08-23, 73.77 ,3,web
T000570,C00535,24/07/2024,1.00,NA,Mobile
T005800,C00205,2024-02-19T09:45:00Z,$200.38,1,In-Store
T000370,C00541,"July 27, 2024", 179.87 ,3,In-Store
T003699,C00591,2024-04-10T20:34:00Z,$250.05,5,Web
T007531,C00645,2024-08-19,$215.76,2,in-store
T006348,C00652,20/06/2024,44.22,4,Web
T003470,C00693,2024-08-22,78.16,3,web
T000306, C00827 ,"August 11, 2024",$145.63,, mobile
T007517,C00390,2024-02-27,$42.71,4,Web
T001928,C00488,2024-10-15,$101.11,2,web
T002897,C00827,2024-05-15T14:49:00Z,$125.02,2,web
T007260,C00347,2024-08-21T06:23:00Z, 149.58 ,1,in-store
T007195,C00130,23/04/2024,$126.52,1,web
T001647,C00500,2024-09-12T14:21:00Z,193.22,4,in-store
T006497,C00244,15/08/2024,192.78,1,Web
T002976,C00118,14/02/2024, 53.63 ,2,Web
T002087,C00566,"April 17, 2024",223.15,4,in-store
T002762,C00327,2024-11-23T14:18:00Z, 48.78 ,5,Web
T007192,C00300,"November 15, 2024", 122.27 ,4,WEB 
T007168,C00040,16/01/2024,$120.56,5,Mobile
T000225,C00250,11/06/2024,109.76,3,WEB 
T007637,C00389,2024-09-15,163.60,4,in-store
T001639,C00523,09/01/2024, 99.22 ,4,Web
T007995,C00511,"December 24, 2024",205.56,5,Mobile
T003117,C00744,"September 9, 2024",$210.86,1, mobile
T005833,C00793,2024-05-05T07:25:00Z,$177.20,3,In-Store
T006059,C00512,"April 3, 2024",$172.34,5,Mobile
T004429,C00890,2024-10-24T19:10:00Z, 86.06 ,1,In-Store
T000672,C00231,05/12/2024,$67.55,null,Web
T004708,C00491,2024-11-20T10:48:00Z,14.49,5,web
T002164,C00525,"December 15, 2024",$5.77,1,in-store
T003419,C00830,2024-02-21, 72.40 ,4,WEB 
T003508,C00197,10/01/2024,93.90,1, mobile
T007089,C00545,2024-04-10T13:51:00Z,200.35,3,Web
T000298,C00044,20/09/2024,$195.30,5,Web
T003024, C00327 ,2024-07-15T22:08:00Z,$135.09,4,WEB 
T000064,C00166,"November 12, 2024",102.78,3,in-store
T004433, C00487 ,2024-08-15T22:26:00Z,148.41,4,Web
T003147,C00709,2024-06-03, 87.24 ,2,web
T004181,C00560,2024-01-07T23:17:00Z,235.76,1,Web
T001031,C00232,24/06/2024,187.03,4,in-store
T006910,C00826,2024-08-13T17:17:00Z,$133.44,3, mobile
T003123,C00101,2024-06-23T16:53:00Z,$46.63,4,Mobile
T002557,C00253,21/03/2024,97.83,2,WEB 
T004434,C00675,2024-11-20, 140.14 ,4,WEB 
T006420,C00654,2024-09-08, 24.36 ,2,WEB 
T002579,C00744,"June 18, 2024",$133.83,1,in-store
T003462, C00802 ,2024-07-02,$153.69,1, mobile
T006549, C00750 ,2024-11-26,$201.82,2,WEB 
T003612,C00296,2024-09-04T17:10:00Z,85.64,3,Mobile
T003729,C00058,"December 1, 2024",$229.39,4, mobile
T005212,C00355,"December 19, 2024", 101.01 ,2, mobile
T005641,C00493,2024-02-04,88.97,3,Web
T005489,C00542,"February 27, 2024", 152.75 ,3,web
T004045,C00863,2024-11-05,$86.42,1,Mobile
T001741,C00691,12/05/2024, 119.12 ,NA,in-store
T001082,C00716,"October 14, 2024",115.89,5,WEB 
T007490,C00076,2024-12-18,209.43,2, mobile
